s,move cursor left,h,vim,vim left-right motions
b,move cursor right,l,vim,vim left-right motions
0,go to the first character in the line,,vim,vim left-right motions
^,go to the first non-blank character in the line,,vim,vim left-right motions
$,go to the last character in the line,,vim,vim left-right motions
g_,go to the last non-blank character in the line,,vim,vim left-right motions
g0,go to first character in screen line,,vim,vim left-right motions
g^,go to first non-blank character in screen line,,vim,vim left-right motions
g$,go to last character in screen line,,vim,vim left-right motions
gm,go to middle or the screen line,,vim,vim left-right motions
fx,go to Nth occurrence of x to the right,,vim,vim left-right motions
Fx,go to Nth occurrence of x to the left,,vim,vim left-right motions
jx,till before the Nth occurrence of x to the right,tx,vim,vim left-right motions
Jx,till before the Nth occurrence of x to the left,Tx,vim,vim left-right motions
;,"repeat the last ""f"", ""F"", ""j"", or ""J"" N times",,vim,vim left-right motions
",","repeat the last ""f"", ""F"", ""j"", or ""J"" N times in opposite direction",,vim,vim left-right motions
n,move up N lines,k,vim,vim up-down motions
t,move down N lines,j,vim,vim up-down motions
-,"move up N lines, on the first non-blank character",,vim,vim up-down motions
+,"move down N lines, on the first non-blank character",,vim,vim up-down motions
_,"move down N-1 lines, on the first non-blank character",,vim,vim up-down motions
G,"go to line N: default: last line, on the first non-blank character",,vim,vim up-down motions
gg,"go to line N; default: first line, on the first non-blank character",,vim,vim up-down motions
N%,go to line N percentage down in the file. N must be given,,vim,vim up-down motions
gk,move up N screen lines,,vim,vim up-down motions
gj,move down N screen lines,,vim,vim up-down motions
w,move N words forward,,vim,vim text-object motions
W,move N WORDS forward,,vim,vim text-object motions
e,move forward to the end of the Nth word,,vim,vim text-object motions
E,move forward to the end of the Nth WORD,,vim,vim text-object motions
ge,move backward to the end of the Nth word,,vim,vim text-object motions
gE,move backward to the end of the Nth WORD,,vim,vim text-object motions
),move N sentences forward,,vim,vim text-object motions
(,move N sentences backward,,vim,vim text-object motions
},move N paragraphs forward,,vim,vim text-object motions
{,move N paragraphs backward,,vim,vim text-object motions
]],"move N sections forward, at start of section",,vim,vim text-object motions
[[,"move N sections backward, at start of section",,vim,vim text-object motions
][,"move N sections forward, at end of section",,vim,vim text-object motions
[],"move N sections backward, at end of section",,vim,vim text-object motions
[(,move times back to unclosed '(',,vim,vim text-object motions
[{,move times back to unclosed '{',,vim,vim text-object motions
[m,move times back to start of method (for Java),,vim,vim text-object motions
[M,move times back to end of method (for Java),,vim,vim text-object motions
]),move times forward to unclosed ')',,vim,vim text-object motions
]},move times forward to unclosed '}',,vim,vim text-object motions
]m,move times forward to start of method (for Java),,vim,vim text-object motions
]M,move times forward to end of method (for Java),,vim,vim text-object motions
[#,"move times back to unclosed ""#if"" or ""#else""",,vim,vim text-object motions
]#,"move times forward to unclosed ""#else"" or ""#endif""",,vim,vim text-object motions
[*,"move times back to start of comment ""/*""",,vim,vim text-object motions
]*,"move times forward to end of comment ""*/""",,vim,vim text-object motions
:help keyword,open help for keyword,,vim,vim global
:o file,open file,,vim,vim global
:saveas file,save file as,,vim,vim global
:close,close current pane,,vim,vim global
H,move to top of screen,,vim,vim motions
M,move to middle of screen,,vim,vim motions
L,move to bottom of screen,,vim,vim motions
5G,go to line 5,,vim,vim motions
zz,center cursor on screen,,vim,vim motions
c-b,move back one full screen,,vim,vim motions
c-f,move forward one full screen,,vim,vim motions
c-d,move forward 1/2 a screen,,vim,vim motions
c-u,move back 1/2 a screen,,vim,vim motions
i,insert before the cursor,,vim,vim insert
I,insert at the beginning of the line,,vim,vim insert
a,insert (append) after the cursor,,vim,vim insert
A,insert (append) at the end of the line,,vim,vim insert
o,append (open) a new line below the current line,,vim,vim insert
O,append (open) a new line above the current line,,vim,vim insert
ea,insert (append) at the end of the word,,vim,vim insert
Esc,exit insert mode,,vim,vim insert
r,replace a single character,,vim,vim editing
J,join line below to the current one,,vim,vim editing
cc,change (replace) entire line,,vim,vim editing
cw,change (replace) to the start of the next word,,vim,vim editing
ce,change (replace) to the end of the next word,,vim,vim editing
cb,change (replace) to the start of the previous word,,vim,vim editing
c0,change (replace) to the start of the line,,vim,vim editing
c$,change (replace) to the end of the line,,vim,vim editing
xp,transpose two letters (delete and paste),,vim,vim editing
.,repeat last command,,vim,vim editing
u,undo,,vim,vim editing
c-r,redo,,vim,vim editing
v,"start visual mode, mark lines, then do a command (like y-yank)",,vim,vim visual marking
V,start linewise visual mode,,vim,vim visual marking
o,move to other end of marked area,,vim,vim visual marking
O,move to other corner of block,,vim,vim visual marking
aw,mark a word,,vim,vim visual marking
ab,a block with (),,vim,vim visual marking
aB,a block with {},,vim,vim visual marking
ib,inner block with (),,vim,vim visual marking
iB,inner block with {},,vim,vim visual marking
Esc,exit visual mode,,vim,vim visual marking
c-v,start visual block mode,,vim,vim visual marking
>,shift text right,,vim,vim visual
<,shift text left,,vim,vim visual
