the,1,the:1,definite article,the,"/ t͟hə, t͟hē, t͟hə; ˈt͟hē/",used as a function word to indicate that a following noun or noun equivalent is definite or has been previously specified by context or by circumstance.,"Middle English, from Old English thē, masculine demonstrative pron. & definite article, alteration (influenced by oblique cases — as thæs, genitive — & neuter, thæt) of sē; akin to Greek ho, masculine demonstrative pron. & definite article that",english words
of,2,of:1,preposition,of,"/əv, ə; ˈəv, ˈäv/",used as a function word to indicate a point of reckoning.,"Middle English, off, of, from Old English, adverb & preposition; akin to Old High German aba off, away, Latin ab from, away, Greek apo",english words
and,3,and:1,conjunction,and,"/ən(d), (ˈ)an(d), ᵊn(d) t, d, s z, ᵊm p b, ᵊŋ k g/",,"Middle English, from Old English; akin to Old High German unti and",english words
to,4,to:1,preposition,to,"/tə, tu̇, ˈtü/","used as a function word to indicate movement or an action or condition suggestive of movement toward a place, person, or thing reached.","Middle English, from Old English tō; akin to Old High German zuo to, Latin donec as long as, until",english words
a,5,a:1,noun,a,/ˈā/,the 1st letter of the English alphabet.,"Middle English, from Old English ān one one",english words
in,6,in:1,preposition,in,"/ˈin, ən, ᵊn/","used as a function word to indicate inclusion, location, or position within limits.","Middle English, from Old English; akin to Old High German in in, Latin in, Greek en",english words
for,7,for:1,preposition,for,"/fər, (ˈ)fȯr, (ˈ)fär/",used as a function word to indicate purpose.,"Middle English, from Old English; akin to Latin per through, prae before, pro before, for, ahead, Greek pro, Old English faran to go fare",english words
is,8,is:1,verb,,/ɪz/,third-person singular simple present indicative form of by,"Middle English, from Old English; akin to Old High German ist is (from sīn to be), Latin est (from esse to be), Greek esti (from einai to be)",english words
on,9,on:1,preposition,on,"/ˈȯn, ˈän/",used as a function word to indicate position in contact with and supported by the top surface of.,"Middle English an, on, preposition & adverb, from Old English; akin to Old High German ana on, Greek ana up, on",english words
that,10,that:1,pronoun,,"/ˈt͟hat, t͟hət/","the person, thing, or idea indicated, mentioned, or understood from the situation.","Middle English, from Old English thæt, neuter demonstrative pron. & definite article; akin to Old High German daz, neuter demonstrative pron. & definite article, Greek to, Latin istud, neuter demonstrative pron.",english words
by,11,by:1,preposition,by,"/ˈbī, bə/",in proximity to :near.,"Middle English, preposition & adverb, from Old English, preposition, be, bī; akin to Old High German bī by, near, Latin ambi- on both sides, around, Greek amphi",english words
this,12,this:1,pronoun,,"/ˈt͟his, t͟həs/","the person, thing, or idea that is present or near in place, time, or thought or that has just been mentioned.","Middle English, pron. & adjective, from Old English thes (masculine), this (neuter); akin to Old High German dese this, Old English thæt that",english words
with,13,with:1,preposition,with,"/ˈwit͟h, ˈwith, wət͟h, wəth/",in opposition to :against.,"Middle English, against, from, with, from Old English; akin to Old English wither against, Old High German widar against, back, Sanskrit vi apart",english words
i,14,i:1,noun,i,/ˈī/,the 9th letter of the English alphabet.,"Middle English, from Old English ic; akin to Old High German ih I, Latin ego, Greek egō",english words
you,15,you:1,pronoun,you,"/ˈyü, yə yē/",the one or ones being addressedcompare thee thou ye your yours.,"Middle English, from Old English ēow, dative & accusative of gē you; akin to Old High German iu, dative of ir you, Sanskrit yūyam you",english words
it,16,it:1,pronoun,it,"/ˈit, ət/","that one used as subject or direct object or indirect object of a verb or object of a preposition usually in reference to a lifeless thing, a plant, a person or animal whose sex is unknown or disregarded, a group of individuals or things, or an abstract entitycompare he its she they.","Middle English, from Old English hit he",english words
not,17,not:1,adverb,not,/ˈnät/,used as a function word to make negative a group of words or a word.,"Middle English, alteration of nought, from nought, pron. naught",english words
or,18,or:1,conjunction,or,"/ər, ˈȯr, ˈär/","used as a function word to indicate an alternative, the equivalent or substitutive character of two words or phrases, or approximation or uncertainty.","Middle English, alteration of other, alteration of Old English oththe; akin to Old High German eddo or",english words
be,19,be:1,verb,,/ˈbē/,to equal in meaning :have the same connotation as :symbolize.,"Middle English, from Old English bēon; akin to Old High German bim am, Latin fui I have been, futurus about to be, fieri to become, be done, Greek phynai to be born, be by nature, phyein to produce",english words
are,20,are:1,verb,,/ɑɹ/,second-person singular simple present of be,"Middle English, from Old English earun; akin to Old Norse eru, erum are, Old English is is",english words
from,21,from:1,preposition,from,"/ˈfrəm, ˈfräm fəm/",used as a function word to indicate a starting point of a physical movement or a starting point in measuring or reckoning or in a statement of limits.,"Middle English, from Old English from, fram; akin to Old High German fram, adverb, forth, away, Old English faran to go fare",english words
at,22,at:1,preposition,at,"/ət, ˈat/","used as a function word to indicate presence or occurrence in, on, or near.","Middle English, from Old English æt; akin to Old High German az at, Latin ad",english words
as,23,as:1,adverb,as,"/əz, (ˌ)az/",to the same degree or amount.,"Middle English, from Old English eallswā likewise, just as also",english words
your,24,your:1,adjective,your,"/yər, ˈyu̇r, ˈyȯr/","of or relating to you or yourself or yourselves especially as possessor or possessors, agent or agents, or object or objects of an action.","Middle English, from Old English ēower; akin to Old English ēow you you",english words
all,25,all:1,adjective,,/ˈȯl/,"the whole amount, quantity, or extent of.","Middle English all, al, from Old English eall; akin to Old High German all all",english words
have,26,have:1,verb,,"/ˈhav, (h)əv, v; ˈhaf/","to hold or maintain as a possession, privilege, or entitlement.","Middle English, from Old English habban; akin to Old High German habēn to have, and perhaps to hevan to lift heave",english words
new,27,new:1,adjective,,"/ˈnü, ˈnyü, (ˌ)nu̇ nə (ˌ)ni/",having recently come into existence :recent modern.,"Middle English, from Old English nīwe; akin to Old High German niuwi new, Latin novus, Greek neos",english words
more,28,more:1,adjective,more,/ˈmȯr/,greater.,"Middle English, from Old English māra; akin to Old English mā, adverb, more, Old High German mēr, Old Irish mó more",english words
an,29,an:1,indefinite article,an,"/ən, (ˈ)an/",a.,"Middle English, from Old English ān one one",english words
